role	instance	master	x	y	width	height	orient	pStatus	baseClass	subClass
mover	_18717_	OAI21_X1	59.09	64.68	0.76	1.4	MY	placed	core	core
target	_18539_	OAI21_X1	59.85	64.68	0.76	1.4	MY	placed	core	core
