role	instance	master	x	y	width	height	orient	pStatus	baseClass	subClass
mover	_14522_	NOR2_X1	32.68	119.28	0.57	1.4	R180	placed	core	core
target	_14662_	NOR2_X1	33.25	119.28	0.57	1.4	MX	placed	core	core
