instance	master	x	y	orient	input_net	output_net	upstream_loads	output_loads	merged_fanout	driver_term
FE_OFC95_01032	BUF_X1	113.05	32.48	MX	FE_OFN93_01032	FE_OFN95_01032	11	16	26	FE_OFC93_01032/Z
FE_OFC94_01032	BUF_X1	109.06	38.08	MX	FE_OFN93_01032	FE_OFN94_01032	11	15	25	FE_OFC93_01032/Z
FE_OFC93_01032	BUF_X1	97.28	38.08	MX	FE_OFN91_01032	FE_OFN93_01032	12	11	22	FE_OFC91_01032/Z
FE_OFC92_01032	BUF_X1	98.8	26.88	MX	FE_OFN91_01032	FE_OFN92_01032	12	14	25	FE_OFC91_01032/Z
FE_OFC90_01021	BUF_X1	114.19	36.68	R0	FE_OFN89_01021	FE_OFN90_01021	12	14	25	FE_OFC89_01021/Z
FE_OFC89_01021	BUF_X1	101.46	39.48	R0	FE_OFN87_01021	FE_OFN89_01021	14	12	25	FE_OFC87_01021/Z
FE_OFC88_01021	BUF_X1	93.67	25.48	R0	_01021_	FE_OFN88_01021	5	16	20	_09803_/Z
FE_OFC87_01021	BUF_X1	92.91	32.48	MX	_01021_	FE_OFN87_01021	5	14	18	_09803_/Z
FE_OFC86_01020	BUF_X1	109.25	22.68	R0	FE_OFN85_01020	FE_OFN86_01020	16	16	31	FE_OFC85_01020/Z
FE_OFC85_01020	BUF_X1	95.95	29.68	MX	FE_OFN84_01020	FE_OFN85_01020	15	16	30	FE_OFC84_01020/Z
FE_OFC83_01010	BUF_X1	93.86	26.88	MX	FE_OFN82_01010	FE_OFN83_01010	14	10	23	FE_OFC82_01010/Z
FE_OFC81_01009	BUF_X1	96.52	28.28	R0	FE_OFN80_01009	FE_OFN81_01009	10	12	21	FE_OFC80_01009/Z
FE_OFC79_01001	BUF_X1	99.56	31.08	R0	FE_OFN78_01001	FE_OFN79_01001	15	12	26	FE_OFC78_01001/Z
FE_OFC77_01000	BUF_X1	93.1	26.88	MX	FE_OFN76_01000	FE_OFN77_01000	12	11	22	FE_OFC76_01000/Z
FE_OFC75_00994	BUF_X1	104.88	38.08	MX	FE_OFN74_00994	FE_OFN75_00994	15	16	30	FE_OFC74_00994/Z
FE_OFC73_00993	BUF_X1	102.79	17.08	R0	_00993_	FE_OFN73_00993	7	16	22	_09775_/ZN
FE_OFC72_00993	BUF_X1	100.7	28.28	R0	_00993_	FE_OFN72_00993	7	13	19	_09775_/ZN
FE_OFC69_00308	BUF_X1	18.81	112.28	R0	_00308_	FE_OFN69_00308	6	12	17	_13353_/ZN
FE_OFC68_00307	BUF_X1	23.94	115.08	R0	_00307_	FE_OFN68_00307	12	15	26	_13358_/ZN
FE_OFC67_00297	BUF_X1	30.21	87.08	R0	FE_OFN65_00297	FE_OFN67_00297	13	15	27	FE_OFC65_00297/Z
FE_OFC66_00297	BUF_X1	37.05	85.68	MX	FE_OFN65_00297	FE_OFN66_00297	13	15	27	FE_OFC65_00297/Z
FE_OFC65_00297	BUF_X1	26.79	80.08	MX	_00297_	FE_OFN65_00297	11	13	23	_12726_/ZN
FE_OFC63_00279	BUF_X1	28.5	115.08	R0	_00279_	FE_OFN63_00279	8	16	23	_13343_/ZN
FE_OFC62_00279	BUF_X1	19.76	113.68	R180	_00279_	FE_OFN62_00279	8	12	19	_13343_/ZN
FE_OFC61_00278	BUF_X1	20.9	112.28	R0	_00278_	FE_OFN61_00278	11	10	20	_13348_/ZN
FE_OFC60_08466	BUF_X1	109.25	103.88	MY	_08466_	FE_OFN60_08466	2	16	17	_17751_/ZN
FE_OFC59_08434	BUF_X1	109.25	110.88	R180	_08434_	FE_OFN59_08434	2	16	17	_17719_/ZN
FE_OFC55_05861	BUF_X1	97.47	52.08	MX	_05861_	FE_OFN55_05861	2	16	17	_14847_/ZN
FE_OFC53_05822	BUF_X1	102.79	52.08	MX	_05822_	FE_OFN53_05822	10	9	18	_14808_/ZN
FE_OFC52_05807	BUF_X1	107.73	53.48	R0	_05807_	FE_OFN52_05807	4	15	18	_14793_/ZN
FE_OFC50_04404	BUF_X1	20.9	109.48	R0	_04404_	FE_OFN50_04404	7	14	20	_13357_/ZN
FE_OFC49_04400	BUF_X1	22.99	112.28	R0	_04400_	FE_OFN49_04400	13	10	22	_13352_/ZN
FE_OFC48_04396	BUF_X1	22.04	115.08	R0	_04396_	FE_OFN48_04396	10	12	21	_13347_/ZN
FE_OFC47_04392	BUF_X1	18.81	127.68	MX	FE_OFN46_04392	FE_OFN47_04392	15	10	24	FE_OFC46_04392/Z
FE_OFC46_04392	BUF_X1	21.28	115.08	MY	FE_OFN45_04392	FE_OFN46_04392	16	15	30	FE_OFC45_04392/Z
FE_OFC45_04392	BUF_X1	21.47	108.08	MX	_04392_	FE_OFN45_04392	3	16	18	_13342_/ZN
FE_OFC44_03889	BUF_X1	37.62	81.48	R0	FE_OFN42_03889	FE_OFN44_03889	15	16	30	FE_OFC42_03889/Z
FE_OFC43_03889	BUF_X1	28.12	73.08	MY	_03889_	FE_OFN43_03889	6	16	21	_12725_/ZN
FE_OFC42_03889	BUF_X1	31.92	78.68	R0	_03889_	FE_OFN42_03889	6	15	20	_12725_/ZN
FE_OFC41_00986	BUF_X1	43.7	31.08	R0	FE_OFN40_00986	FE_OFN41_00986	13	11	23	FE_OFC40_00986/Z
FE_OFC40_00986	BUF_X1	53.01	31.08	R0	FE_OFN38_00986	FE_OFN40_00986	13	13	25	FE_OFC38_00986/Z
FE_OFC39_00986	BUF_X1	121.98	103.88	R0	FE_OFN37_00986	FE_OFN39_00986	16	16	31	FE_OFC37_00986/Z
FE_OFC38_00986	BUF_X1	57.95	39.48	R0	FE_OFN34_00986	FE_OFN38_00986	16	13	28	FE_OFC34_00986/Z
FE_OFC37_00986	BUF_X1	118.75	96.88	MX	FE_OFN32_00986	FE_OFN37_00986	16	16	31	FE_OFC32_00986/Z
FE_OFC36_00986	BUF_X1	131.86	98.28	R0	FE_OFN32_00986	FE_OFN36_00986	16	16	31	FE_OFC32_00986/Z
FE_OFC35_00986	BUF_X1	79.99	50.68	R0	FE_OFN31_00986	FE_OFN35_00986	16	16	31	FE_OFC31_00986/Z
FE_OFC34_00986	BUF_X1	77.33	49.28	R180	FE_OFN31_00986	FE_OFN34_00986	16	16	31	FE_OFC31_00986/Z
FE_OFC33_00986	BUF_X1	91.01	47.88	R0	FE_OFN31_00986	FE_OFN33_00986	16	12	27	FE_OFC31_00986/Z
FE_OFC32_00986	BUF_X1	126.54	78.68	R0	_00986_	FE_OFN32_00986	10	16	25	_09768_/ZN
FE_OFC31_00986	BUF_X1	96.71	46.48	MX	_00986_	FE_OFN31_00986	10	16	25	_09768_/ZN
FE_OFC30_00986	BUF_X1	125.4	47.88	R0	_00986_	FE_OFN30_00986	10	12	21	_09768_/ZN
FE_OFC29_00961	BUF_X1	17.86	80.08	R180	FE_OFN25_00961	FE_OFN29_00961	10	16	25	FE_OFC25_00961/Z
FE_OFC28_00961	BUF_X1	41.23	47.88	R0	FE_OFN24_00961	FE_OFN28_00961	16	16	31	FE_OFC24_00961/Z
FE_OFC27_00961	BUF_X1	19.0	108.08	R180	FE_OFN23_00961	FE_OFN27_00961	16	16	31	FE_OFC23_00961/Z
FE_OFC26_00961	BUF_X1	48.07	88.48	MX	FE_OFN22_00961	FE_OFN26_00961	12	16	27	FE_OFC22_00961/Z
FE_OFC25_00961	BUF_X1	19.0	95.48	MY	FE_OFN22_00961	FE_OFN25_00961	12	10	21	FE_OFC22_00961/Z
FE_OFC24_00961	BUF_X1	43.13	70.28	MY	_00961_	FE_OFN24_00961	10	16	25	_09743_/ZN
FE_OFC23_00961	BUF_X1	49.4	126.28	R0	FE_OFN20_00961	FE_OFN23_00961	7	16	22	FE_OFC20_00961/Z
FE_OFC22_00961	BUF_X1	46.17	101.08	R0	_00961_	FE_OFN22_00961	10	12	21	_09743_/ZN
FE_OFC19_ld_r	BUF_X1	83.6	49.28	MX	FE_OFN18_ld_r	FE_OFN19_ld_r	15	16	30	FE_OFC18_ld_r/Z
FE_OFC18_ld_r	BUF_X1	55.86	98.28	MY	ld_r	FE_OFN18_ld_r	10	15	24	_19477_/Q
FE_OFC17_00295	BUF_X1	28.88	70.28	R0	_00295_	FE_OFN17_00295	11	11	21	_12657_/ZN
FE_OFC16_ld	BUF_X1	142.88	14.28	R0	FE_OFN13_ld	FE_OFN16_ld	14	16	29	FE_OFC13_ld/Z
FE_OFC15_ld	BUF_X1	48.64	82.88	MX	FE_OFN12_ld	FE_OFN15_ld	10	16	25	FE_OFC12_ld/Z
FE_OFC14_ld	BUF_X1	45.6	12.88	R180	FE_OFN10_ld	FE_OFN14_ld	16	14	29	FE_OFC10_ld/Z
FE_OFC13_ld	BUF_X1	129.96	15.68	MX	FE_OFN9_ld	FE_OFN13_ld	16	14	29	FE_OFC9_ld/Z
FE_OFC12_ld	BUF_X1	17.1	71.68	MX	FE_OFN8_ld	FE_OFN12_ld	16	10	25	FE_OFC8_ld/Z
FE_OFC11_ld	BUF_X1	76.38	12.88	R180	FE_OFN7_ld	FE_OFN11_ld	14	16	29	FE_OFC7_ld/Z
FE_OFC10_ld	BUF_X1	42.56	19.88	R0	FE_OFN6_ld	FE_OFN10_ld	16	16	31	FE_OFC6_ld/Z
FE_OFC9_ld	BUF_X1	119.51	14.28	R0	FE_OFN5_ld	FE_OFN9_ld	14	16	29	FE_OFC5_ld/Z
FE_OFC8_ld	BUF_X1	15.77	70.28	R0	FE_OFN4_ld	FE_OFN8_ld	16	16	31	FE_OFC4_ld/Z
FE_OFC7_ld	BUF_X1	94.81	12.88	MX	FE_OFN2_ld	FE_OFN7_ld	13	14	26	FE_OFC2_ld/Z
FE_OFC6_ld	BUF_X1	42.94	40.88	R180	FE_OFN2_ld	FE_OFN6_ld	13	16	28	FE_OFC2_ld/Z
FE_OFC5_ld	BUF_X1	105.26	12.88	MX	FE_OFN2_ld	FE_OFN5_ld	13	14	26	FE_OFC2_ld/Z
FE_OFC4_ld	BUF_X1	14.06	98.28	R0	FE_OFN1_ld	FE_OFN4_ld	11	16	26	FE_OFC1_ld/Z
FE_OFC3_ld	BUF_X1	54.15	143.08	R0	FE_OFN0_ld	FE_OFN3_ld	12	16	27	FE_OFC0_ld/Z
