instance	master	x	y	orient	input_net	output_net	upstream_loads	output_loads	merged_fanout	driver_term
FE_OFC318_04431	BUF_X1	37.62	46.48	MX	_04431_	FE_OFN318_04431	10	14	23	_13391_/ZN
FE_OFC317_04426	BUF_X1	35.15	49.28	R180	_04426_	FE_OFN317_04426	12	14	25	_13385_/ZN
FE_OFC316_04418	BUF_X1	32.68	50.68	R0	FE_OFN315_04418	FE_OFN316_04418	12	15	26	FE_OFC315_04418/Z
FE_OFC315_04418	BUF_X1	24.7	39.48	R0	FE_OFN313_04418	FE_OFN315_04418	10	12	21	FE_OFC313_04418/Z
FE_OFC314_04418	BUF_X1	15.2	50.68	R0	_04418_	FE_OFN314_04418	8	16	23	_13376_/ZN
FE_OFC313_04418	BUF_X1	13.49	40.88	MX	_04418_	FE_OFN313_04418	8	10	17	_13376_/ZN
FE_OFC312_04415	BUF_X1	28.88	53.48	R0	FE_OFN309_04415	FE_OFN312_04415	12	16	27	FE_OFC309_04415/Z
FE_OFC311_04415	BUF_X1	19.19	46.48	MX	FE_OFN309_04415	FE_OFN311_04415	12	12	23	FE_OFC309_04415/Z
FE_OFC310_04415	BUF_X1	12.35	59.08	R0	FE_OFN4_04415	FE_OFN310_04415	11	15	25	FE_OFC4_04415/Z
FE_OFC309_04415	BUF_X1	15.58	45.08	R0	FE_OFN4_04415	FE_OFN309_04415	11	12	22	FE_OFC4_04415/Z
FE_OFC307_04412	BUF_X1	12.16	49.28	MX	FE_OFN306_04412	FE_OFN307_04412	15	16	30	FE_OFC306_04412/Z
FE_OFC305_04409	BUF_X1	21.28	43.68	MX	_04409_	FE_OFN305_04409	9	11	19	_13364_/ZN
FE_OFC304_04388	BUF_X1	34.96	110.88	MX	FE_OFN301_04388	FE_OFN304_04388	12	16	27	FE_OFC301_04388/Z
FE_OFC303_04388	BUF_X1	22.04	117.88	R0	FE_OFN301_04388	FE_OFN303_04388	12	13	24	FE_OFC301_04388/Z
FE_OFC302_04388	BUF_X1	18.43	117.88	MY	FE_OFN301_04388	FE_OFN302_04388	12	9	20	FE_OFC301_04388/Z
FE_OFC300_04385	BUF_X1	36.29	109.48	R0	_04385_	FE_OFN300_04385	5	16	20	_13333_/ZN
FE_OFC299_04385	BUF_X1	24.51	108.08	MX	_04385_	FE_OFN299_04385	5	14	18	_13333_/ZN
FE_OFC298_04382	BUF_X1	29.45	116.48	MX	FE_OFN297_04382	FE_OFN298_04382	10	9	18	FE_OFC297_04382/Z
FE_OFC296_04377	BUF_X1	19.76	136.08	MX	_04377_	FE_OFN296_04377	5	16	20	_13322_/ZN
FE_OFC295_04369	BUF_X1	16.15	150.08	MX	FE_OFN294_04369	FE_OFN295_04369	11	15	25	FE_OFC294_04369/Z
FE_OFC293_04366	BUF_X1	19.0	140.28	R0	_04366_	FE_OFN293_04366	7	16	22	_13309_/ZN
FE_OFC292_04358	BUF_X1	34.96	140.28	R0	FE_OFN290_04358	FE_OFN292_04358	16	15	30	FE_OFC290_04358/Z
FE_OFC291_04358	BUF_X1	18.43	137.48	MY	_04358_	FE_OFN291_04358	3	16	18	_13300_/ZN
FE_OFC290_04358	BUF_X1	23.37	136.08	MX	_04358_	FE_OFN290_04358	3	16	18	_13300_/ZN
FE_OFC289_04355	BUF_X1	42.94	148.68	R0	FE_OFN287_04355	FE_OFN289_04355	16	16	31	FE_OFC287_04355/Z
FE_OFC288_04355	BUF_X1	17.67	144.48	MX	FE_OFN286_04355	FE_OFN288_04355	16	10	25	FE_OFC286_04355/Z
FE_OFC287_04355	BUF_X1	30.21	137.48	R0	FE_OFN286_04355	FE_OFN287_04355	16	16	31	FE_OFC286_04355/Z
FE_OFC285_04352	BUF_X1	33.25	143.08	R0	FE_OFN284_04352	FE_OFN285_04352	13	16	28	FE_OFC284_04352/Z
FE_OFC283_04349	BUF_X1	32.49	155.68	MX	FE_OFN282_04349	FE_OFN283_04349	8	15	22	FE_OFC282_04349/Z
FE_OFC280_03918	BUF_X1	41.23	80.08	MX	_03918_	FE_OFN280_03918	14	16	29	_12755_/Z
FE_OFC274_03878	BUF_X1	41.23	91.28	MX	_03878_	FE_OFN274_03878	10	16	25	_12713_/Z
FE_OFC273_03878	BUF_X1	35.15	82.88	R180	_03878_	FE_OFN273_03878	10	12	21	_12713_/Z
FE_OFC272_03878	BUF_X1	35.72	71.68	R180	_03878_	FE_OFN272_03878	10	14	23	_12713_/Z
FE_OFC269_03868	BUF_X1	27.74	88.48	R180	_03868_	FE_OFN269_03868	13	9	21	_12702_/Z
FE_OFC268_03839	BUF_X1	25.65	74.48	R180	_03839_	FE_OFN268_03839	7	12	18	_12670_/ZN
FE_OFC267_03475	BUF_X1	86.07	39.48	MY	_03475_	FE_OFN267_03475	8	10	17	_12298_/Z
FE_OFC266_03474	BUF_X1	87.97	32.48	R180	FE_OFN265_03474	FE_OFN266_03474	12	13	24	FE_OFC265_03474/Z
FE_OFC264_03464	BUF_X1	74.67	39.48	MY	FE_OFN261_03464	FE_OFN264_03464	12	16	27	FE_OFC261_03464/Z
FE_OFC263_03464	BUF_X1	76.38	35.28	R180	FE_OFN261_03464	FE_OFN263_03464	12	16	27	FE_OFC261_03464/Z
FE_OFC262_03464	BUF_X1	88.16	35.28	MX	FE_OFN261_03464	FE_OFN262_03464	12	14	25	FE_OFC261_03464/Z
FE_OFC260_03463	BUF_X1	76.38	24.08	MX	FE_OFN258_03463	FE_OFN260_03463	16	14	29	FE_OFC258_03463/Z
FE_OFC259_03463	BUF_X1	89.3	32.48	MX	FE_OFN258_03463	FE_OFN259_03463	16	11	26	FE_OFC258_03463/Z
FE_OFC258_03463	BUF_X1	87.02	40.88	MX	_03463_	FE_OFN258_03463	3	16	18	_12286_/ZN
FE_OFC257_03463	BUF_X1	84.74	43.68	R180	_03463_	FE_OFN257_03463	3	16	18	_12286_/ZN
FE_OFC256_03452	BUF_X1	77.33	31.08	MY	_03452_	FE_OFN256_03452	9	14	22	_12275_/Z
FE_OFC255_03452	BUF_X1	73.15	42.28	MY	_03452_	FE_OFN255_03452	9	13	21	_12275_/Z
FE_OFC254_03451	BUF_X1	73.91	19.88	R0	FE_OFN253_03451	FE_OFN254_03451	14	16	29	FE_OFC253_03451/Z
